a.mp3
Image.jpg
64,192,414,5,0,0:0:0:0:
448,192,414,1,0,0:0:0:0:
192,192,843,1,0,0:0:0:0:
64,192,1057,1,0,0:0:0:0:
320,192,1271,1,0,0:0:0:0:
448,192,1700,1,0,0:0:0:0:
64,192,1700,1,0,0:0:0:0:
192,192,2128,1,0,0:0:0:0:
64,192,2343,1,0,0:0:0:0:
320,192,2557,1,0,0:0:0:0:
64,192,2986,1,0,0:0:0:0:
448,192,2986,1,0,0:0:0:0:
192,192,3414,1,0,0:0:0:0:
64,192,3414,1,0,0:0:0:0:
320,192,3843,1,0,0:0:0:0:
448,192,3843,1,0,0:0:0:0:
192,192,4271,1,0,0:0:0:0:
448,192,4486,1,0,0:0:0:0:
64,192,4700,1,0,0:0:0:0:
320,192,5128,1,0,0:0:0:0:
448,192,5128,1,0,0:0:0:0:
192,192,5557,1,0,0:0:0:0:
448,192,5771,1,0,0:0:0:0:
64,192,5986,1,0,0:0:0:0:
320,192,6414,1,0,0:0:0:0:
448,192,6414,1,0,0:0:0:0:
192,192,6843,1,0,0:0:0:0:
448,192,6843,1,0,0:0:0:0:
448,192,7271,1,0,0:0:0:0:
64,192,7271,1,0,0:0:0:0:
320,192,7700,1,0,0:0:0:0:
64,192,7914,1,0,0:0:0:0:
192,192,8128,1,0,0:0:0:0:
448,192,8557,1,0,0:0:0:0:
64,192,8557,1,0,0:0:0:0:
320,192,8986,1,0,0:0:0:0:
64,192,9200,1,0,0:0:0:0:
192,192,9414,1,0,0:0:0:0:
448,192,9843,1,0,0:0:0:0:
64,192,9843,1,0,0:0:0:0:
320,192,10271,1,0,0:0:0:0:
64,192,10271,1,0,0:0:0:0:
64,192,10700,1,0,0:0:0:0:
448,192,10700,1,0,0:0:0:0:
192,192,11128,1,0,0:0:0:0:
448,192,11343,1,0,0:0:0:0:
320,192,11557,1,0,0:0:0:0:
64,192,11986,1,0,0:0:0:0:
448,192,11986,1,0,0:0:0:0:
320,192,12414,128,0,12843:0:0:0:0:
192,192,12843,128,0,13271:0:0:0:0:
320,192,13271,128,0,13700:0:0:0:0:
192,192,13700,128,0,14128:0:0:0:0:
